id,pageTitle,status,eventCount,users,viewsPerUser,averageTime
4,Search Results - Electronics,Online,12345,345678,12.3,1m 45s
5,Blog Post - Top 5 Gadgets,Online,9876,23456,15.4,2m 20s
6,Signup Form,Offline,5432,1234,20.5,1m 30s
7,Contact Us Page,Online,7654,3456,18.6,2m 15s
8,Product Comparison,Online,3456,7654,11.7,1m 50s
9,Cart Page,Offline,2345,5678,13.8,2m 0s
10,Shipping Information,Online,6543,2345,16.9,1m 40s
11,Payment Gateway,Offline,4321,1234,19.0,2m 30s
12,Order Confirmation,Online,5432,3456,17.1,1m 55s
13,Customer Reviews,Online,7654,5678,15.2,2m 10s
14,About Us Page,Offline,3456,2345,18.3,1m 45s
15,Privacy Policy,Online,2345,6543,12.4,2m 0s
16,Terms of Service,Offline,6543,4321,15.5,1m 30s
17,Newsletter Signup,Online,4321,3456,18.6,2m 15s
18,Return Policy,Offline,5432,2345,11.7,1m 50s
19,FAQs Page,Online,7654,6543,13.8,2m 0s
20,Site Map,Offline,3456,4321,16.9,1m 40s
21,Login Page,Online,2345,1234,19.0,2m 30s
22,Forgot Password,Offline,6543,3456,17.1,1m 55s
23,Account Settings,Online,4321,5678,15.2,2m 10s
24,Checkout Process - Step 2,Offline,5432,2345,18.3,1m 45s
25,Checkout Process - Step 3,Online,7654,6543,12.4,2m 0s
26,Product Details - Appliances,Offline,3456,4321,15.5,1m 30s
27,Product Details - Clothing,Online,2345,3456,18.6,2m 15s
28,Product Details - Home Decor,Offline,6543,2345,11.7,1m 50s
29,Product Details - Books,Online,4321,6543,13.8,2m 0s
30,Product Details - Toys,Offline,5432,4321,16.9,1m 40s
